weekday,DayHour,Count,Mean
1,0,873,861.68843069874
1,1,462,2537.41341991342
1,2,238,23444.4327731092
1,3,172,4935.95930232558
1,4,384,3789.66145833333
1,5,1918,370.965067778936
1,6,5470,391.092870201097
1,7,12332,423.1423937723
1,8,20825,468.486290516207
1,9,9701,579.299556746727
1,10,4960,682.09314516129
1,11,4675,1068.23636363636
1,12,5631,951.181317705558
1,13,5688,712.010021097046
1,14,5168,931.345781733746
1,15,5718,1059.08936691151
1,16,7973,1017.49981186504
1,17,17106,726.506839705367
1,18,19735,671.274486952116
1,19,13241,666.443093421947
1,20,8646,1121.85311126533
1,21,5269,709.446574302524
1,22,3114,662.060051380861
1,23,1535,1729.98892508143
2,0,708,2969.01412429379
2,1,388,2330.3118556701
2,2,179,2107.01117318436
2,3,135,2674.93333333333
2,4,401,2140.95760598504
2,5,2092,419.181644359465
2,6,6426,410.051198257081
2,7,15023,396.053850762165
2,8,25026,437.271157995685
2,9,11098,470.339971165976
2,10,5217,598.696377228292
2,11,4568,815.946584938704
2,12,5455,742.934922089826
2,13,5261,783.478236076792
2,14,4918,1294.53416022774
2,15,5355,765.506255835668
2,16,8041,731.022012187539
2,17,17694,629.011246750311
2,18,20622,568.193046261274
2,19,13858,708.522947034204
2,20,8945,638.561207378424
2,21,5927,720.16230808166
2,22,3462,582.757654534951
2,23,1566,883.848659003832
3,0,849,594.098939929329
3,1,466,642.714592274678
3,2,208,1713.73076923077
3,3,150,867.153333333333
3,4,480,975.214583333333
3,5,2130,382.670422535211
3,6,6581,362.003342956997
3,7,15395,427.716271516726
3,8,25026,527.379445376808
3,9,11132,555.600431189364
3,10,5338,756.72180591982
3,11,4932,888.044809407948
3,12,5893,683.32903444765
3,13,5568,612.14996408046
3,14,5065,629.579861796644
3,15,5550,884.264504504505
3,16,8059,759.813500434297
3,17,17159,551.117955591818
3,18,20002,554.33201679832
3,19,13951,552.946885527919
3,20,9171,621.440955184822
3,21,5872,619.069482288828
3,22,3665,1229.18444747613
3,23,1815,732.386776859504
4,0,878,1368.27107061503
4,1,392,3330.01530612245
4,2,190,7384.45263157895
4,3,132,950.757575757576
4,4,362,704.486187845304
4,5,1867,488.298875200857
4,6,5996,366.19212808539
4,7,14174,384.440313249612
4,8,23616,437.973069105691
4,9,10931,452.983441588144
4,10,5243,650.663169940874
4,11,4409,644.393059650715
4,12,5676,1001.98749119098
4,13,5449,978.748944760506
4,14,5006,833.903915301638
4,15,5573,1337.48591422932
4,16,7965,643.280602636535
4,17,16782,582.221070194256
4,18,19351,592.553563123353
4,19,13367,587.678761128152
4,20,9084,827.827939233818
4,21,5920,554.421621621622
4,22,3864,614.040372670807
4,23,2056,586.091926070039
5,0,1090,608.255963302752
5,1,528,1184.5946969697
5,2,261,1352.84291187739
5,3,177,1193.09039548023
5,4,403,398.069478908189
5,5,1734,375.758362168397
5,6,5383,367.947798625302
5,7,12358,495.002751254248
5,8,22039,433.928626525704
5,9,11079,500.140897192888
5,10,5715,598.36990376203
5,11,5432,627.787187039764
5,12,6381,856.054850336938
5,13,6437,631.659779400342
5,14,6373,773.449552800879
5,15,7286,725.214383749657
5,16,9841,628.569657555127
5,17,16464,689.377247327503
5,18,16165,600.735910918651
5,19,11104,702.827449567723
5,20,7395,799.962271805274
5,21,5226,619.527745885955
5,22,3893,599.013100436681
5,23,2442,590.9180999181
6,0,1846,633.014084507042
6,1,1081,899.775208140611
6,2,616,1361.34253246753
6,3,438,1042.16894977169
6,4,266,1007.00751879699
6,5,478,3727.17573221757
6,6,1045,604.421052631579
6,7,2456,750.918973941368
6,8,4906,1173.52038320424
6,9,6867,650.216688510267
6,10,8812,718.938833408988
6,11,9774,861.07386944956
6,12,9786,858.621193541794
6,13,10133,889.336721602684
6,14,9429,959.024180719058
6,15,9396,1106.39953171562
6,16,9074,1210.19407097201
6,17,8735,1026.05724098455
6,18,8406,843.67856293124
6,19,7107,1191.94216969185
6,20,5339,1627.12979958794
6,21,3912,803.249233128834
6,22,3246,736.455329636476
6,23,2524,751.904516640254
7,0,1734,732.96770472895
7,1,1145,889.441048034935
7,2,753,1977.78618857902
7,3,443,1246.53273137698
7,4,332,750.033132530121
7,5,438,1070.94520547945
7,6,803,989.652552926526
7,7,1833,734.393889798145
7,8,3880,874.112371134021
7,9,5037,860.60690887433
7,10,7622,1025.33245867226
7,11,8428,878.53488372093
7,12,9086,955.068787145058
7,13,9359,1035.99294796453
7,14,9029,1292.05847823679
7,15,9069,1170.28228029551
7,16,8640,1105.36851851852
7,17,8605,978.282393957002
7,18,8282,1141.86162762618
7,19,6950,976.967050359712
7,20,5322,934.031567080045
7,21,3509,829.86035907666
7,22,2544,1228.83529874214
7,23,1655,1088.97160120846
