weekday,DayHour,Count,Mean
1,0,17699,1404.47697610034
1,1,9395,1340.50111761575
1,2,5410,2271.35489833641
1,3,3617,1878.62344484379
1,4,5574,1203.49174739864
1,5,23458,652.95702958479
1,6,75472,670.227965338139
1,7,161076,737.723037572326
1,8,271800,799.571364974246
1,9,195562,839.146996860331
1,10,115897,930.930455490651
1,11,109213,1053.43418823766
1,12,130266,1093.65896703668
1,13,136743,1049.30260415524
1,14,139924,1126.46262256654
1,15,151947,1163.92519102055
1,16,194145,1081.62444049551
1,17,320675,966.976222031652
1,18,312220,943.334113765934
1,19,208961,966.047066198956
1,20,140038,997.902676416401
1,21,94307,993.537404434453
1,22,63766,1107.22479064078
1,23,35484,1169.4996336377
2,0,17957,1347.98351617754
2,1,9032,1835.76350752879
2,2,5336,1608.07871064468
2,3,3456,2542.92216435185
2,4,6181,1449.13881248989
2,5,27880,655.92525107604
2,6,88749,633.337772819975
2,7,177670,735.061422862611
2,8,316066,779.439446191618
2,9,225288,819.892559745748
2,10,125138,882.163227796513
2,11,119318,976.28541376825
2,12,134193,1026.55207052529
2,13,139973,987.162388460632
2,14,146329,1056.58779872753
2,15,161834,1033.32837969771
2,16,203057,994.602515549821
2,17,338386,932.453408237929
2,18,333062,911.961409587404
2,19,219142,971.265535588796
2,20,146783,1013.64047607693
2,21,100733,921.954424071556
2,22,71551,1226.11674190438
2,23,40416,1089.57858273951
3,0,19839,1151.02842885226
3,1,9908,1443.73879693177
3,2,5571,1691.39938969664
3,3,3664,1015.58788209607
3,4,6362,1027.77742848161
3,5,28350,688.797178130512
3,6,92988,629.725620510173
3,7,194407,738.980643701101
3,8,333301,786.422927023921
3,9,233828,795.037895376088
3,10,129725,903.253659664675
3,11,123782,956.146273286908
3,12,143610,956.802687835109
3,13,145910,936.889342745528
3,14,150170,969.934387693947
3,15,158561,1010.54186086112
3,16,193207,973.844193015781
3,17,313919,918.025137057649
3,18,302443,905.26485321201
3,19,205610,972.62126355722
3,20,138476,944.18572171351
3,21,98000,1017.5397244898
3,22,71681,1026.82268662547
3,23,42953,1016.50352711103
4,0,21835,1253.52864666819
4,1,10493,1441.4331459068
4,2,5965,1507.03721709975
4,3,3855,1055.47704280156
4,4,6011,924.401097987024
4,5,24467,632.706175665182
4,6,80201,636.271418062119
4,7,170492,730.734527133238
4,8,287871,780.55046183881
4,9,209907,835.376485777035
4,10,122457,962.102158308631
4,11,117268,1021.36613568919
4,12,136735,957.733323582111
4,13,143114,989.492516455413
4,14,150418,955.170391841402
4,15,159852,994.037271976578
4,16,193322,972.378011814486
4,17,307440,927.18004163414
4,18,298084,949.71001127199
4,19,200336,921.684395216037
4,20,134149,956.697001095796
4,21,94192,1008.99384236453
4,22,73593,1012.06890601008
4,23,47948,976.656774005172
5,0,26535,1029.08189184096
5,1,13551,1301.19548372814
5,2,7971,1686.3752352277
5,3,4973,1103.53931228635
5,4,6294,2024.68636796949
5,5,22569,659.413398910009
5,6,74659,662.33382445519
5,7,159371,731.774896311123
5,8,280202,754.334280269234
5,9,217794,773.382457735291
5,10,134156,931.570649095083
5,11,133819,1013.12720914071
5,12,155406,986.679928702882
5,13,160889,980.890011125683
5,14,176461,998.840395328146
5,15,194016,1082.2191520287
5,16,237319,942.914161950792
5,17,316261,949.090909090909
5,18,271576,980.910518602527
5,19,185882,1000.40179253505
5,20,124180,1060.43393461105
5,21,86669,1011.7739560858
5,22,70665,1028.33135215453
5,23,53383,1146.83328025776
6,0,39344,1065.87367832452
6,1,24994,1070.99279827159
6,2,16362,1130.4215866031
6,3,10407,1079.40664937062
6,4,7200,918.194861111111
6,5,7121,965.249122314282
6,6,18032,800.92136202307
6,7,41811,941.812369950492
6,8,79733,883.099720316556
6,9,127399,931.030008084836
6,10,169575,1018.76551378446
6,11,204359,1089.38832642556
6,12,227932,1086.68605987751
6,13,236408,1126.59098253866
6,14,238641,1201.21451887982
6,15,238004,1188.53068015664
6,16,231757,1168.23771018783
6,17,215111,1214.18476972354
6,18,192518,1175.46931196044
6,19,158349,1129.7072858054
6,20,113765,1164.59062101701
6,21,85293,1027.61757705791
6,22,71908,1112.34620626356
6,23,57525,1040.58531073446
7,0,42125,1089.23040949555
7,1,27860,1077.96130653266
7,2,17693,1369.69422935624
7,3,11587,1057.04384223699
7,4,7275,1190.98130584192
7,5,6042,920.957960940086
7,6,12946,913.3336165611
7,7,28552,880.414822079014
7,8,57791,967.972815836376
7,9,98400,1017.71022357724
7,10,142153,975.225426125372
7,11,170525,1085.39640521918
7,12,194407,1108.42401765369
7,13,200950,1167.17017666086
7,14,202807,1188.85374765171
7,15,205994,1161.94944512947
7,16,205591,1155.52228939983
7,17,190690,1158.42040484556
7,18,167795,1176.64213474776
7,19,136296,1089.26852585549
7,20,101973,1132.53705392604
7,21,72961,1159.31974616576
7,22,54256,1114.9744913005
7,23,40430,1225.39312391788
