AgeGroup,gender,Count,Mean,Median,Max,percentile90th
10,1,675,1280.40888888889,284,18242.5999999998,936.6
10,2,189,681.391534391534,540,2979.72000000002,971.4
20,1,130465,549.2722952516,332,2438,849
20,2,48598,557.356105189514,372,2566.03,919
30,1,346941,483.413470878334,314,2331,834
30,2,110301,551.04148647791,334,2589,850
40,1,156539,522.912488261711,309,2577,873
40,2,38489,633.828106731794,335,2624.12,963
50,1,79345,561.491196672758,343,2699.56,957
50,2,16406,643.784469096672,347,2765.75,984
60,1,31655,491.897678091929,334,2365.46,882
60,2,8720,534.964220183486,357.5,2656.81,975.1
70,1,1933,602.86808070357,321,2354.36,810
70,2,385,462.901298701299,389,2352.44,508
80,1,4,2992,2027.5,6816.04,5700.4
80,2,344,229.729651162791,214,575.28,283.7
90,1,3,545.333333333333,362,1021.54,900.4
