weekday,DayHour,Count,Mean
1,0,25,14097.64
1,1,11,85977.4545454546
1,2,19,287485.315789474
1,3,8,94505.25
1,4,6,216618.5
1,5,5,10511.2
1,6,24,13948.3333333333
1,7,61,11681.3770491803
1,8,82,16321.2317073171
1,9,60,27393.4
1,10,126,8826.19047619048
1,11,121,22572.1983471074
1,12,172,14696.1220930233
1,13,174,6758.63218390805
1,14,161,13146.8695652174
1,15,174,18105.6781609195
1,16,184,23086.9619565217
1,17,196,22926.8418367347
1,18,227,20776.4933920705
1,19,212,13537.7641509434
1,20,129,45074.015503876
1,21,80,16362.0375
1,22,41,15671.8780487805
1,23,48,40752.1458333333
2,0,24,74610.7083333333
2,1,14,51664.7142857143
2,2,4,69391.5
2,3,5,57912.8
2,4,3,236439.666666667
2,5,7,16119.5714285714
2,6,32,13544.1875
2,7,41,11289.0243902439
2,8,65,13517.5846153846
2,9,59,13242.2711864407
2,10,99,8445.41414141414
2,11,108,14554.9259259259
2,12,111,11530.6936936937
2,13,137,10993.9343065693
2,14,129,29947.8449612403
2,15,137,9649.70802919708
2,16,175,11853.0057142857
2,17,169,17850.2366863905
2,18,209,13943.8181818182
2,19,179,20867.8268156425
2,20,112,15519.9375
2,21,66,24814.0909090909
2,22,45,11667.3777777778
2,23,35,19509.6571428571
3,0,24,4711.20833333333
3,1,11,7507.45454545455
3,2,8,31404
3,3,5,11154
3,4,6,50601.8333333333
3,5,11,7315.36363636364
3,6,31,4965
3,7,59,16805.8644067797
3,8,99,31690.1515151515
3,9,64,27156.515625
3,10,82,18841.9756097561
3,11,106,19199.5283018868
3,12,117,9979.88888888889
3,13,104,6070.36538461539
3,14,114,5964.9649122807
3,15,129,16470.7596899225
3,16,124,18215.8951612903
3,17,156,10501.7243589744
3,18,201,12018.1293532338
3,19,187,8517.52406417112
3,20,101,15399.6831683168
3,21,70,15214.7571428571
3,22,65,43651.7538461539
3,23,37,13737.1081081081
4,0,20,39324.15
4,1,10,111139.8
4,2,7,185335.857142857
4,3,2,28900
4,4,4,31874.25
4,5,14,17188.1428571429
4,6,29,6498
4,7,37,7973.56756756757
4,8,81,12025.6049382716
4,9,50,11717.7
4,10,84,13962.2023809524
4,11,109,6824.07339449541
4,12,114,24623.2543859649
4,13,121,21721.3388429752
4,14,124,13271.7741935484
4,15,143,32470.6783216783
4,16,108,12269.0740740741
4,17,125,16977.64
4,18,167,18177.9520958084
4,19,151,12516.0728476821
4,20,127,27123.7795275591
4,21,55,12217.2
4,22,61,10179.6885245902
4,23,31,9714.8064516129
5,0,18,9878.72222222222
5,1,17,22306.7647058824
5,2,16,13755
5,3,7,17292.7142857143
5,4,4,5734.25
5,5,10,4343.3
5,6,26,6218.46153846154
5,7,48,35069.9791666667
5,8,77,11797.1168831169
5,9,80,15220.85
5,10,112,8497.27678571429
5,11,139,6229.24460431655
5,12,167,14019.497005988
5,13,108,8394.37037037037
5,14,155,11859.1032258065
5,15,154,10175.3311688312
5,16,165,9190.48484848485
5,17,271,14530.741697417
5,18,253,9286.27272727273
5,19,229,11266.9082969432
5,20,130,17569.3307692308
5,21,67,11310.9253731343
5,22,62,8810.82258064516
5,23,35,9901.77142857143
6,0,41,8232.09756097561
6,1,32,15026.59375
6,2,14,39315.9285714286
6,3,18,14844.5555555556
6,4,5,32217.8
6,5,15,105705.866666667
6,6,28,4968.78571428572
6,7,60,11827.7166666667
6,8,103,33704.8349514563
6,9,200,5527.285
6,10,308,6357.96103896104
6,11,416,7584.24278846154
6,12,468,6115.9188034188
6,13,527,5762.92220113852
6,14,578,5751.57612456747
6,15,607,7619.84349258649
6,16,505,10812.0792079208
6,17,455,8071.75824175824
6,18,350,6618.4
6,19,257,16471.6225680934
6,20,146,38312.6164383562
6,21,86,11945.1395348837
6,22,57,12882.7543859649
6,23,37,18557.3513513514
7,0,37,13737.4594594595
7,1,28,18657.4285714286
7,2,26,43946.4615384615
7,3,15,23062.8
7,4,7,14316.7142857143
7,5,13,23194.0769230769
7,6,24,16973.5
7,7,62,7286.82258064516
7,8,144,10893.9375
7,9,226,7739.19026548673
7,10,406,9577.47536945813
7,11,446,6311.56053811659
7,12,546,6484.21611721612
7,13,598,6994.45484949833
7,14,714,8626.79971988796
7,15,649,7801.94298921418
7,16,547,7653.49360146252
7,17,463,7047.59179265659
7,18,392,11701.8724489796
7,19,297,8779.27609427609
7,20,134,14639.2686567164
7,21,80,14092.3125
7,22,69,28111.5652173913
7,23,58,17051.3793103448
