weekday,DayHour,Count,Mean
1,0,466,25690.1738197425
1,1,331,17808.16918429
1,2,212,39639.1981132076
1,3,106,40301.0849056604
1,4,144,23180.6944444444
1,5,172,10643.7790697674
1,6,326,15412.5828220859
1,7,901,10160.7746947836
1,8,1841,10394.7718631179
1,9,2334,10730.617823479
1,10,2628,8646.02435312024
1,11,3018,10548.1494367131
1,12,3504,13297.4283675799
1,13,3712,11636.6891163793
1,14,3990,13360.2689223058
1,15,3932,16101.977110885
1,16,4113,15554.2178458546
1,17,4629,13473.0812270469
1,18,4248,12900.2391713748
1,19,3350,13975.087761194
1,20,2191,17041.3445915107
1,21,1385,18045.0657039711
1,22,1114,21840.0385996409
1,23,714,22194.3613445378
2,0,372,30414.5322580645
2,1,278,36566.3633093525
2,2,157,31292.1719745223
2,3,112,57795.5267857143
2,4,111,46755.8198198198
2,5,208,11054.0721153846
2,6,415,9295.04337349398
2,7,847,14588.3034238489
2,8,1678,11517.2443384982
2,9,2004,14245.2005988024
2,10,2158,10106.9022242817
2,11,2761,10556.8692502716
2,12,2900,14664.635862069
2,13,3170,12231.6870662461
2,14,3419,14128.5931558935
2,15,3462,14075.3229347198
2,16,3574,14345.3749300504
2,17,4278,12913.6479663394
2,18,4363,11180.1526472611
2,19,3072,16523.947265625
2,20,2055,20364.804379562
2,21,1437,13616.9526791928
2,22,1124,31953.7153024911
2,23,654,23187.7645259939
3,0,415,20800.8289156626
3,1,252,28589.2063492064
3,2,151,36352.3907284768
3,3,92,12213.7282608696
3,4,122,21378.393442623
3,5,176,17839.3977272727
3,6,424,7020.08490566038
3,7,997,12871.4934804413
3,8,1920,11040.3296875
3,9,2039,11605.6723884257
3,10,2310,10973.3264069264
3,11,2678,10301.6348020911
3,12,3060,11487.4215686275
3,13,3078,10658.0539311241
3,14,3125,12063.296
3,15,3281,13585.7150259067
3,16,3282,13966.3543570993
3,17,3841,12696.3592814371
3,18,3796,11358.7452581665
3,19,2877,16958.4351755301
3,20,1892,15799.4667019028
3,21,1263,22664.3911322249
3,22,1097,19469.1540565178
3,23,730,17816.1904109589
4,0,404,29222.5297029703
4,1,239,32071.1631799163
4,2,162,29874.9382716049
4,3,97,15950.0412371134
4,4,109,17299.3302752294
4,5,147,11076.5306122449
4,6,338,11952.0177514793
4,7,896,13904.140625
4,8,1666,11841.6716686675
4,9,1865,16623.9919571046
4,10,2254,14031.4303460515
4,11,2653,12784.694685262
4,12,3078,10864.3014944769
4,13,3120,12761.6724358974
4,14,3296,10455.0142597087
4,15,3377,12476.6114894877
4,16,3293,13816.0689341026
4,17,3893,13176.785255587
4,18,3778,15311.538115405
4,19,2784,13261.7783764368
4,20,2085,14726.3477218225
4,21,1432,18654.782122905
4,22,1209,16873.9387923904
4,23,722,17486.7991689751
5,0,506,16463.9782608696
5,1,333,24367.3213213213
5,2,220,35841.4636363636
5,3,120,17290.4416666667
5,4,139,63571.2014388489
5,5,156,12316.7564102564
5,6,355,13981.7323943662
5,7,844,13656.0947867299
5,8,1646,7326.1439854192
5,9,2016,8958.12896825397
5,10,2615,11250.3862332696
5,11,3286,11024.8426658551
5,12,3751,10860.9866702213
5,13,3784,10809.9709302326
5,14,4553,9841.60641335383
5,15,4614,13501.1744690074
5,16,4707,9075.95304865094
5,17,4906,10991.0758255198
5,18,4459,12646.1659564925
5,19,3324,13110.7867027678
5,20,2286,15974.0809273841
5,21,1535,14082.5426710098
5,22,1312,13897.3315548781
5,23,832,26295.4807692308
6,0,813,15460.6088560886
6,1,569,14491.1036906854
6,2,437,15138.5057208238
6,3,268,14571.3843283582
6,4,184,8991.70652173913
6,5,147,14235.2653061225
6,6,325,7881.04923076923
6,7,735,15064.2326530612
6,8,1490,10151.5375838926
6,9,3029,8708.87091449323
6,10,5194,8201.61802079322
6,11,7638,7331.42851531815
6,12,8906,6137.37289467775
6,13,9782,6349.51124514414
6,14,11088,6850.67198773449
6,15,10807,6616.14555380772
6,16,9681,6876.25389939056
6,17,7923,9297.93436829484
6,18,6293,9968.88002542508
6,19,4489,10520.4918690131
6,20,2902,13500.1764300482
6,21,1960,9834.62704081633
6,22,1608,13752.1722636816
6,23,1183,12735.3415046492
7,0,992,13688.2772177419
7,1,687,13435.4192139738
7,2,501,22323.7624750499
7,3,330,11136.7212121212
7,4,247,14202.0607287449
7,5,172,7897.02325581395
7,6,261,11498.7164750958
7,7,549,10519.8670309654
7,8,1265,12669.9462450593
7,9,2734,10694.2783467447
7,10,4444,6737.07403240324
7,11,6175,7940.3363562753
7,12,7751,7010.07470003871
7,13,8366,7548.64797991872
7,14,9075,7292.77201101928
7,15,8684,7038.20865960387
7,16,7987,7849.16226367848
7,17,6480,9647.94228395062
7,18,4959,12354.1855212745
7,19,3650,10735.7265753425
7,20,2459,14501.9589263928
7,21,1539,18785.4996751137
7,22,1248,16170.1434294872
7,23,1303,13946.9846508058
