bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
29299,1587,3855197,2429.23566477631
29490,1555,3538718,2275.70289389068
29242,2249,3515990,1563.3570475767
26159,2263,3501958,1547.48475475033
29522,1778,3161861,1778.32452193476
29535,1771,3093694,1746.86278938453
29542,1655,3093429,1869.1413897281
29596,1681,2718525,1617.20701963117
29646,1736,2707066,1559.3698156682
29246,1695,2663827,1571.57935103245
26173,1941,2617076,1348.31324059763
29674,2298,2518225,1095.83333333333
29459,1625,2488034,1531.09784615385
29438,1756,2465705,1404.16002277904
29434,1577,2433003,1542.80469245403
29623,2069,2394120,1157.13871435476
29551,1751,2373213,1355.3472301542
29224,1512,2358537,1559.87896825397
29437,1802,2316889,1285.73196448391
29252,915,2315268,2530.34754098361
26273,1648,2315167,1404.83434466019
26266,1970,2315074,1175.16446700508
26262,1672,2209851,1321.68122009569
26210,1905,2198579,1154.10971128609
26211,2052,2179658,1062.21150097466
29642,2200,2174465,988.393181818182
26160,2055,2140184,1041.45206812652
26202,1803,2129165,1180.90127565169
26293,2157,2122100,983.820120537784
29472,1824,2115856,1160.00877192982
29477,1941,2052178,1057.27872230809
42197,89,1978236,22227.3707865169
29445,1946,1973008,1013.87872559096
26172,1906,1957907,1027.23347324239
26170,2222,1932086,869.525652565257
29290,1744,1914316,1097.65825688073
29647,1369,1897025,1385.70124178232
29201,1798,1895737,1054.35873192436
26163,1829,1890922,1033.85565882996
26224,2078,1864267,897.144850818094
29474,1901,1826736,960.93424513414
29204,1698,1817528,1070.39340400471
38355,8,1807688,225961
29672,2099,1784420,850.12863268223
29537,1743,1775961,1018.91049913941
29554,1547,1755321,1134.66127989657
29273,1866,1748325,936.93729903537
26264,2115,1745939,825.503073286052
29488,1076,1737396,1614.68029739777
29598,2513,1735934,690.781536012734
29280,1825,1720014,942.473424657534
29613,2277,1710873,751.371541501976
26285,2020,1703718,843.424752475248
29640,2254,1701801,755.013753327418
42535,86,1674728,19473.5813953488
26214,2145,1664280,775.888111888112
26184,1785,1657089,928.341176470588
29599,1868,1650856,883.755888650964
29660,2056,1648695,801.894455252918
26279,1898,1634074,860.945205479452
29614,2245,1625546,724.073942093541
26158,2001,1617584,808.387806096952
29618,2186,1610916,736.92406221409
29608,2449,1610151,657.472846059616
29207,2119,1581233,746.21661160925
26197,1391,1576779,1133.55787203451
26247,1792,1573087,877.838727678572
26179,2225,1570500,705.842696629214
29296,1730,1568865,906.85838150289
29600,2053,1566208,762.887481734048
29673,2189,1565912,715.354956601188
29531,1401,1563256,1115.81441827266
26269,2215,1556648,702.775620767494
26306,2162,1555966,719.688251618871
29588,2335,1554564,665.766167023555
29612,2369,1553310,655.681722245673
29507,1936,1552462,801.89152892562
29234,1743,1548572,888.452094090648
29681,1994,1543792,774.218655967904
29255,1226,1540641,1256.64029363785
42228,61,1538572,25222.4918032787
29512,1913,1527694,798.585467851542
26292,2053,1527044,743.811008280565
26168,744,1526014,2051.09408602151
