bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
16498,908,5771695,6356.4922907489
33682,540,5450729,10093.9425925926
34851,1968,5418473,2753.28912601626
32225,1438,5267583,3663.1314325452
31052,1765,4818670,2730.12464589235
31491,1356,4680938,3452.0191740413
33922,2116,4634357,2190.14981096408
32946,1431,4533288,3167.91614255765
34398,2325,4531509,1949.03612903226
35593,2346,4523795,1928.30136402387
21423,885,4498710,5083.28813559322
25079,1069,4459772,4171.91019644528
39570,784,4438762,5661.6862244898
35066,2590,4433873,1711.92007722008
33945,2542,4363030,1716.3768686074
30143,1287,4362126,3389.37529137529
29097,1409,4346980,3085.15259048971
33790,1929,4345476,2252.70917573873
28426,1020,4312872,4228.30588235294
38237,1396,4291770,3074.33381088825
33754,2148,4290906,1997.62849162011
30232,530,4254945,8028.19811320755
34218,2506,4157635,1659.07222665603
31609,1383,4132004,2987.71077368041
30304,1059,4090600,3862.70066100094
28660,42,4071599,96942.8333333333
34183,2572,4047429,1573.65046656299
19486,1036,4015363,3875.83301158301
34355,2772,4005727,1445.06746031746
33938,2354,3985680,1693.1520815633
28804,1220,3962512,3247.96065573771
29387,872,3934598,4512.15366972477
35063,2656,3898573,1467.83621987952
32045,1638,3896992,2379.115995116
25441,330,3894833,11802.5242424242
14910,836,3891860,4655.33492822967
33951,2206,3882417,1759.93517679057
17313,1048,3871343,3694.02958015267
17551,652,3868288,5932.95705521472
16804,979,3867216,3950.1695607763
35227,1729,3857259,2230.91902834008
30045,1078,3838835,3561.07142857143
35345,1642,3838675,2337.80450669915
35031,2757,3837739,1391.99818643453
32068,1484,3810427,2567.67318059299
19465,881,3807863,4322.20544835414
33910,2334,3781117,1620.01585261354
30430,1397,3779467,2705.41660701503
29782,1115,3755971,3368.58385650224
28384,1200,3748884,3124.07
30891,1574,3720137,2363.49237611182
33848,2606,3706692,1422.36838066002
33832,1798,3696280,2055.77308120133
29036,1372,3678750,2681.30466472303
16580,966,3649179,3777.61801242236
28952,1502,3647162,2428.20372836218
33041,1523,3630647,2383.87852921865
29100,1109,3620472,3264.62759242561
38367,1303,3600792,2763.46277820414
32324,1682,3591645,2135.3418549346
35106,2734,3578398,1308.85076810534
32910,1737,3561611,2050.43811168682
25205,1220,3553210,2912.46721311475
34177,2685,3552823,1323.21154562384
17869,953,3551466,3726.61699895068
33934,1946,3545135,1821.75488180884
34233,2137,3539724,1656.39868975199
35285,2270,3531972,1555.93480176211
19715,431,3519171,8165.12993039443
33749,1824,3517507,1928.45778508772
16507,1027,3516221,3423.77896786758
33699,1478,3508347,2373.71244925575
29931,1397,3500997,2506.08231925555
21577,801,3494676,4362.89138576779
17947,888,3490581,3930.83445945946
21467,832,3489019,4193.53245192308
32314,1356,3479691,2566.14380530973
26521,975,3479406,3568.62153846154
18063,935,3467732,3708.80427807487
17703,968,3457006,3571.28719008264
33883,1242,3446024,2774.57648953301
34253,2874,3443233,1198.06297842728
14563,873,3429633,3928.56013745705
33290,2054,3429257,1669.55063291139
35190,2970,3427028,1153.88148148148
39585,975,3424113,3511.91076923077
34913,2054,3417551,1663.85150925024
33166,1403,3411042,2431.24875267284
30418,1411,3400139,2409.7370659107
31512,955,3389415,3549.12565445026
39308,1375,3383543,2460.75854545455
17356,908,3374237,3716.12004405286
25073,939,3374201,3593.39829605964
27369,1211,3372471,2784.86457473163
33846,2900,3368935,1161.70172413793
34918,2417,3368647,1393.7306578403
29961,1331,3368101,2530.50413223141
40515,503,3365928,6691.70576540755
34351,2705,3361572,1242.72532347505
31439,1399,3361386,2402.70621872766
28081,1198,3360552,2805.13522537563
31443,1261,3356818,2662.02854877082
35151,2653,3350895,1263.05880135695
28863,1116,3347494,2999.54659498208
15374,986,3330529,3377.81845841785
25746,1057,3328937,3149.42005676443
28265,1106,3326378,3007.57504520796
34999,2815,3319075,1179.0674955595
33916,2057,3318509,1613.27613028683
30140,1957,3315323,1694.08431272356
34100,2670,3314637,1241.43707865169
35225,1543,3314071,2147.81011017498
35253,2902,3310165,1140.64955203308
33153,1628,3301284,2027.81572481572
30019,1575,3292203,2090.28761904762
34920,2766,3292039,1190.18040491685
35287,2361,3291561,1394.13850063532
21329,1084,3289275,3034.38653136531
35234,2456,3270393,1331.59324104235
34159,2770,3261332,1177.3761732852
