"","stationId","stationName","latitude","longitude","under20","under40","under60","under80"
"1",116,"W 17 St & 8 Ave",40.74177603,-74.00149746,0,1,0,0
"2",127,"Barrow St & Hudson St",40.73172428,-74.00674436,0,1,0,0
"3",146,"Hudson St & Reade St",40.71625008,-74.0091059,0,1,0,0
"4",195,"Liberty St & Broadway",40.70905623,-74.01043382,0,0,2,0
"5",285,"Broadway & E 14 St",40.73454567,-73.99074142,0,0,1,0
"6",303,"Mercer St & Spring St",40.72362738,-73.99949601,0,0,2,0
"7",309,"Murray St & West St",40.7149787,-74.013012,0,1,0,1
"8",315,"South St & Gouverneur Ln",40.70355377,-74.00670227,0,0,1,0
"9",327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,0,2,2,0
"10",337,"Old Slip & Front St",40.7037992,-74.00838676,0,0,4,0
"11",347,"Greenwich St & W Houston St",40.728846,-74.008591,0,1,1,0
"12",358,"Christopher St & Greenwich St",40.73291553,-74.00711384,0,2,0,0
"13",377,"6 Ave & Canal St",40.72243797,-74.00566443,0,1,0,0
"14",383,"Greenwich Ave & Charles St",40.735238,-74.000271,0,0,0,1
"15",447,"8 Ave & W 52 St",40.76370739,-73.9851615,0,1,0,0
"16",456,"E 53 St & Madison Ave",40.7597108,-73.97402311,0,1,0,0
"17",468,"Broadway & W 56 St",40.7652654,-73.98192338,0,0,1,0
"18",514,"12 Ave & W 40 St",40.76087502,-74.00277668,0,1,1,1
"19",519,"Pershing Square North",40.751873,-73.977706,0,1,0,0
"20",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,0,1,0,0
"21",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,0,1,0,0
"22",3002,"South End Ave & Liberty St",40.711512,-74.015756,0,2,1,0
"23",3183,"Exchange Place",40.7162469,-74.0334588,0,2271,1654,201
"24",3184,"Paulus Hook",40.7141454,-74.0335519,0,2106,2115,167
"25",3185,"City Hall",40.7177325,-74.043845,1,2560,792,33
"26",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,1,21911,12183,1147
"27",3187,"Warren St",40.7211236,-74.03805095,0,896,463,167
"28",3191,"Union St",40.7182113,-74.0836394,0,70,54,0
"29",3192,"Liberty Light Rail",40.7112423,-74.0557013,0,471,312,7
"30",3193,"Lincoln Park",40.7246050998869,-74.0784059464931,0,359,142,3
"31",3194,"McGinley Square",40.7253399253558,-74.0676221251488,6,384,76,93
"32",3195,"Sip Ave",40.7307426253066,-74.0637838840485,8,6498,3172,380
"33",3196,"Riverview Park",40.7443187,-74.0439909,0,101,99,22
"34",3198,"Heights Elevator",40.7487159453802,-74.0404433012009,0,413,128,4
"35",3199,"Newport Pkwy",40.7287448,-74.0321082,1,1386,715,39
"36",3201,"Dey St",40.737711,-74.066921,0,140,222,64
"37",3202,"Newport PATH",40.7272235,-74.0337589,1,4830,1873,175
"38",3203,"Hamilton Park",40.727595966,-74.044247311,0,1144,892,73
"39",3205,"JC Medical Center",40.7165397809919,-74.0496379137039,0,722,383,166
"40",3206,"Hilltop",40.7311689,-74.0575736,0,549,166,8
"41",3207,"Oakland Ave",40.7376037,-74.0524783,0,127,54,8
"42",3209,"Brunswick St",40.7241765,-74.0506564,0,775,210,8
"43",3210,"Pershing Field",40.742677141,-74.051788633,0,191,128,11
"44",3211,"Newark Ave",40.72152515,-74.046304543,0,1590,596,44
"45",3212,"Christ Hospital",40.734785818,-74.050443636,0,102,22,3
"46",3213,"Van Vorst Park",40.71848892,-74.047726625,0,438,512,40
"47",3214,"Essex Light Rail",40.7127742,-74.0364857,0,1835,611,21
"48",3220,"5 Corners Library",40.7349610200095,-74.0595030784607,0,243,101,13
"49",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,0,398,51,0
"50",3267,"Morris Canal",40.7124188237569,-74.0385255217552,0,368,328,60
"51",3268,"Lafayette Park",40.7134638266919,-74.0628585219383,1,141,103,1
"52",3269,"Brunswick & 6th",40.7260117296463,-74.0503889322281,0,587,296,25
"53",3270,"Jersey & 6th St",40.7252891078113,-74.0455716848373,2,314,268,23
"54",3272,"Jersey & 3rd",40.7233315864644,-74.0459525585174,0,524,453,29
"55",3273,"Manila & 1st",40.72165072488,-74.0428841114044,0,2240,929,165
"56",3275,"Columbus Drive",40.7183551982321,-74.0389144420624,0,1514,731,29
"57",3276,"Marin Light Rail",40.7145840353589,-74.042817056179,0,871,467,9
"58",3277,"Communipaw & Berry Lane",40.7143583687043,-74.0666109323502,3,166,119,1
"59",3278,"Monmouth and 6th",40.725685483629,-74.0487903356552,0,568,178,11
"60",3279,"Dixon Mills",40.7216301426384,-74.0499678254128,2,334,133,1
"61",3280,"Astor Place",40.719282200707,-74.071261882782,0,182,123,42
"62",3281,"Leonard Gordon Park",40.7459099663156,-74.0572714805603,0,128,201,2
"63",3426,"JCBS Depot",40.7096508336406,-74.0686011314392,0,35,14,0
"64",3481,"York St",40.71649,-74.04105,4,513,147,7
"65",3483,"Montgomery St",40.71942,-74.05099,0,514,70,11
"66",3638,"Washington St",40.7242941,-74.0354826,2,1575,1265,189
"67",3639,"Harborside",40.7192517,-74.034234,0,4926,2189,342
"68",3640,"Journal Square",40.73367,-74.0625,4,3030,896,108
"69",3674,"Jay St & York St",40.7014031725772,-73.9867267012596,0,0,2,0
"70",3677,"Glenwood Ave",40.7275514673001,-74.0710607171059,0,320,45,8
"71",3678,"Fairmount Ave",40.7257261374256,-74.0719592571259,0,100,99,3
"72",3679,"Bergen Ave",40.722103786686,-74.0714550018311,0,415,251,10
"73",3681,"Grand St",40.7151776773203,-74.0376833081245,0,637,378,26
"74",3694,"Jackson Square",40.71113,-74.0789,0,153,51,1
"75",3791,"Hoboken Ave at Monmouth St",40.7352083804536,-74.0469637513161,0,252,111,1
"76",3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,0,4219,2384,301
