"","stationId","stationName","latitude","longitude","under20","under40","under60","under80"
"1","116","W 17 St & 8 Ave",40.74178,-74.0015,47,5825,2602,359
"2","119","Park Ave & St Edwards St",40.69608941,-73.97803415,17,265,305,6
"3","120","Lexington Ave & Classon Ave",40.68676793,-73.95928168,4,502,347,30
"4","127","Barrow St & Hudson St",40.73172428,-74.00674436,3,4832,3328,586
"5","128","MacDougal St & Prince St",40.72710258,-74.00297088,74,7312,3428,469
"6","143","Clinton St & Joralemon St",40.69239502,-73.99337909,10,2533,2602,253
"7","144","Nassau St & Navy St",40.69839895,-73.98068914,10,1053,563,42
"8","146","Hudson St & Reade St",40.71625008,-74.0091059,6,2420,1868,497
"9","150","E 2 St & Avenue C",40.7208736,-73.98085795,113,1567,1130,128
"10","151","Cleveland Pl & Spring St",40.722103786686,-73.997249007225,5,7232,3834,568
"11","157","Henry St & Atlantic Ave",40.69089272,-73.99612349,1,884,755,141
"12","161","LaGuardia Pl & W 3 St",40.72917025,-73.99810231,20,4314,1646,341
"13","164","E 47 St & 2 Ave",40.75323098,-73.97032517,5,5316,4505,508
"14","167","E 39 St & 3 Ave",40.7489006,-73.97604882,7,7418,3610,845
"15","168","W 18 St & 6 Ave",40.73971301,-73.99456405,34,10125,4788,1165
"16","173","Broadway & W 49 St",40.7606832709659,-73.9845272898674,8,9240,6746,1065
"17","174","E 25 St & 1 Ave",40.7381765,-73.97738662,99,3740,2343,710
"18","195","Liberty St & Broadway",40.70905623,-74.01043382,27,5953,3871,781
"19","2000","Front St & Washington St",40.70255088,-73.98940236,11,3732,2225,183
"20","2002","Wythe Ave & Metropolitan Ave",40.716887,-73.963198,6,3720,1505,53
"21","2003","1 Ave & E 18 St",40.7338121919663,-73.9805442094803,14,3096,1642,386
"22","2005","Railroad Ave & Kay Ave",40.70531194,-73.97100056,37,239,126,60
"23","2006","Central Park S & 6 Ave",40.76590936,-73.97634151,25,5279,5079,1016
"24","2008","Little West St & 1 Pl",40.70569254,-74.01677685,33,2539,2820,617
"25","2009","Catherine St & Monroe St",40.71117444,-73.99682619,13,876,932,301
"26","2012","E 27 St & 1 Ave",40.739445,-73.976806,5,5873,3272,954
"27","2017","E 43 St & 2 Ave",40.75022392,-73.97121414,6,2537,2763,398
"28","2021","W 45 St & 8 Ave",40.75929124,-73.98859651,8,2133,1751,456
"29","2022","E 60 St & York Ave",40.759107,-73.959223,3,794,948,159
"30","2023","E 55 St & Lexington Ave",40.75968085,-73.97031366,0,2667,2271,351
"31","212","W 16 St & The High Line",40.74334935,-74.00681753,5,8128,3980,451
"32","216","Columbia Heights & Cranberry St",40.70037867,-73.99548059,4,244,331,92
"33","217","Old Fulton St",40.70277159,-73.99383605,21,2828,2387,302
"34","223","W 13 St & 7 Ave",40.73781509,-73.99994661,17,3811,2271,660
"35","224","Spruce St & Nassau St",40.71146364,-74.00552427,13,2248,1496,444
"36","228","E 48 St & 3 Ave",40.7546011026,-73.971878855,0,4945,2851,277
"37","229","Great Jones St",40.72743423,-73.99379025,8,8351,3164,661
"38","236","St Marks Pl & 2 Ave",40.7284186,-73.98713956,6,2442,1292,360
"39","237","E 11 St & 2 Ave",40.73047309,-73.98672378,9,2530,1642,199
"40","238","Bank St & Washington St",40.7361967,-74.00859207,17,1407,1083,265
"41","239","Willoughby St & Fleet St",40.69196566,-73.9813018,19,3444,2021,195
"42","241","DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,8,1682,1006,59
"43","242","Carlton Ave & Flushing Ave",40.697787,-73.973736,0,1492,919,97
"44","243","Fulton St & Rockwell Pl",40.688226,-73.979382,2,1845,1030,136
"45","244","Willoughby Ave & Hall St",40.69196035,-73.96536851,2,751,617,23
"46","245","Myrtle Ave & St Edwards St",40.69327018,-73.97703874,2,525,591,68
"47","247","Perry St & Bleecker St",40.73535398,-74.00483091,1,1141,840,166
"48","248","Laight St & Hudson St",40.72185379,-74.00771779,0,1376,1001,84
"49","249","Harrison St & Hudson St",40.71870987,-74.0090009,3,2449,1177,295
"50","250","Lafayette St & Jersey St",40.72456,-73.99565,7,1435,613,140
"51","251","Mott St & Prince St",40.72317958,-73.99480012,7,4487,2232,399
"52","252","MacDougal St & Washington Sq",40.73226398,-73.99852205,6,2673,1219,263
"53","254","W 11 St & 6 Ave",40.73532427,-73.99800419,13,3072,1969,419
"54","257","Lispenard St & Broadway",40.71939226,-74.00247214,26,6016,2806,295
"55","258","DeKalb Ave & Vanderbilt Ave",40.68940747,-73.96885458,13,709,646,58
"56","259","South St & Whitehall St",40.70122128,-74.01234218,35,3232,2548,496
"57","260","Broad St & Bridge St",40.70365182,-74.01167797,23,2353,1657,283
"58","261","Johnson St & Gold St",40.69474881,-73.98362464,3,1194,749,116
"59","262","Washington Park",40.6917823,-73.9737299,0,508,449,49
"60","264","Maiden Ln & Pearl St",40.70706456,-74.00731853,2,2727,1556,295
"61","265","Stanton St & Chrystie St",40.72229346,-73.99147535,12,2539,1556,306
"62","266","Avenue D & E 8 St",40.72368361,-73.97574813,15,918,583,91
