"","stationId","stationName","latitude","longitude","hires"
"1","116","W 17 St & 8 Ave",40.74178,-74.0015,2404
"2","119","Park Ave & St Edwards St",40.69608941,-73.97803415,308
"3","120","Lexington Ave & Classon Ave",40.68676793,-73.95928168,803
"4","127","Barrow St & Hudson St",40.73172428,-74.00674436,3949
"5","128","MacDougal St & Prince St",40.72710258,-74.00297088,4288
"6","143","Clinton St & Joralemon St",40.69239502,-73.99337909,1330
"7","144","Nassau St & Navy St",40.69839895,-73.98068914,1149
"8","146","Hudson St & Reade St",40.71625008,-74.0091059,1800
"9","150","E 2 St & Avenue C",40.7208736,-73.98085795,1695
"10","151","Cleveland Pl & Spring St",40.722103786686,-73.997249007225,6805
"11","157","Henry St & Atlantic Ave",40.69089272,-73.99612349,1781
"12","161","LaGuardia Pl & W 3 St",40.72917025,-73.99810231,3662
"13","164","E 47 St & 2 Ave",40.75323098,-73.97032517,1391
"14","167","E 39 St & 3 Ave",40.7489006,-73.97604882,1739
"15","168","W 18 St & 6 Ave",40.73971301,-73.99456405,4820
"16","173","Broadway & W 49 St",40.7606832709659,-73.9845272898674,2696
"17","174","E 25 St & 1 Ave",40.7381765,-73.97738662,1206
"18","195","Liberty St & Broadway",40.70905623,-74.01043382,1775
"19","2000","Front St & Washington St",40.70255088,-73.98940236,3588
"20","2002","Wythe Ave & Metropolitan Ave",40.716887,-73.963198,3598
"21","2003","1 Ave & E 18 St",40.7338121919663,-73.9805442094803,3059
"22","2005","Railroad Ave & Kay Ave",40.70531194,-73.97100056,39
"23","2006","Central Park S & 6 Ave",40.76590936,-73.97634151,8399
"24","2008","Little West St & 1 Pl",40.70569254,-74.01677685,5910
"25","2009","Catherine St & Monroe St",40.71117444,-73.99682619,1395
"26","2012","E 27 St & 1 Ave",40.739445,-73.976806,1127
"27","2017","E 43 St & 2 Ave",40.75022392,-73.97121414,996
"28","2021","W 45 St & 8 Ave",40.75929124,-73.98859651,2659
"29","2022","E 60 St & York Ave",40.759107,-73.959223,978
"30","2023","E 55 St & Lexington Ave",40.75968085,-73.97031366,465
"31","212","W 16 St & The High Line",40.74334935,-74.00681753,4270
"32","216","Columbia Heights & Cranberry St",40.70037867,-73.99548059,1128
"33","217","Old Fulton St",40.70277159,-73.99383605,5022
"34","223","W 13 St & 7 Ave",40.73781509,-73.99994661,3246
"35","224","Spruce St & Nassau St",40.71146364,-74.00552427,2141
"36","228","E 48 St & 3 Ave",40.7546011026,-73.971878855,908
"37","229","Great Jones St",40.72743423,-73.99379025,4590
"38","236","St Marks Pl & 2 Ave",40.7284186,-73.98713956,4026
