"","stationId","stationName","latitude","longitude","totalHires","manHires","womanHires"
"1",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,33386,23754,8776
"2",3195,"Sip Ave",40.7307426253066,-74.0637838840485,9071,6552,2103
"3",3639,"Harborside",40.7192517,-74.034234,6693,5088,1271
"4",3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,6498,5047,1200
"5",3202,"Newport PATH",40.7272235,-74.0337589,6271,4943,1244
"6",3184,"Paulus Hook",40.7141454,-74.0335519,4106,3354,579
"7",3183,"Exchange Place",40.7162469,-74.0334588,3887,3181,529
"8",3640,"Journal Square",40.73367,-74.0625,3838,3092,688
"9",3185,"City Hall",40.7177325,-74.043845,3026,2348,610
"10",3273,"Manila & 1st",40.72165072488,-74.0428841114044,2890,1854,988
"11",3638,"Washington St",40.7242941,-74.0354826,2659,1861,584
"12",3214,"Essex Light Rail",40.7127742,-74.0364857,2243,1818,380
"13",3275,"Columbus Drive",40.7183551982321,-74.0389144420624,1958,1502,405
"14",3199,"Newport Pkwy",40.7287448,-74.0321082,1697,1304,352
"15",3211,"Newark Ave",40.72152515,-74.046304543,1630,1063,510
"16",3203,"Hamilton Park",40.727595966,-74.044247311,1481,834,575
"17",3187,"Warren St",40.7211236,-74.03805095,1161,748,325
"18",3205,"JC Medical Center",40.7165397809919,-74.0496379137039,928,685,193
"19",3276,"Marin Light Rail",40.7145840353589,-74.042817056179,869,611,223
"20",3681,"Grand St",40.7151776773203,-74.0376833081245,813,667,119
"21",3272,"Jersey & 3rd",40.7233315864644,-74.0459525585174,760,440,294
"22",3209,"Brunswick St",40.7241765,-74.0506564,678,444,213
"23",3213,"Van Vorst Park",40.71848892,-74.047726625,653,496,121
"24",3269,"Brunswick & 6th",40.7260117296463,-74.0503889322281,652,435,175
"25",3206,"Hilltop",40.7311689,-74.0575736,629,510,94
"26",3278,"Monmouth and 6th",40.725685483629,-74.0487903356552,514,298,175
"27",3192,"Liberty Light Rail",40.7112423,-74.0557013,511,302,162
"28",3267,"Morris Canal",40.7124188237569,-74.0385255217552,511,377,106
"29",3194,"McGinley Square",40.7253399253558,-74.0676221251488,466,345,111
"30",3198,"Heights Elevator",40.7487159453802,-74.0404433012009,457,333,103
"31",3481,"York St",40.71649,-74.04105,455,344,62
"32",3679,"Bergen Ave",40.722103786686,-74.0714550018311,450,398,30
"33",3270,"Jersey & 6th St",40.7252891078113,-74.0455716848373,390,275,90
"34",3483,"Montgomery St",40.71942,-74.05099,359,298,50
"35",3201,"Dey St",40.737711,-74.066921,346,299,46
"36",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,334,291,27
"37",3193,"Lincoln Park",40.7246050998869,-74.0784059464931,317,241,66
"38",3220,"5 Corners Library",40.7349610200095,-74.0595030784607,316,242,68
"39",3279,"Dixon Mills",40.7216301426384,-74.0499678254128,310,232,48
"40",3677,"Glenwood Ave",40.7275514673001,-74.0710607171059,270,82,183
"41",3791,"Hoboken Ave at Monmouth St",40.7352083804536,-74.0469637513161,255,147,47
"42",3210,"Pershing Field",40.742677141,-74.051788633,231,170,47
"43",3280,"Astor Place",40.719282200707,-74.071261882782,218,180,22
"44",3277,"Communipaw & Berry Lane",40.7143583687043,-74.0666109323502,213,171,32
"45",3281,"Leonard Gordon Park",40.7459099663156,-74.0572714805603,202,182,10
"46",3196,"Riverview Park",40.7443187,-74.0439909,174,118,40
"47",3268,"Lafayette Park",40.7134638266919,-74.0628585219383,152,127,16
"48",3694,"Jackson Square",40.71113,-74.0789,136,79,30
"49",3207,"Oakland Ave",40.7376037,-74.0524783,118,81,14
"50",3678,"Fairmount Ave",40.7257261374256,-74.0719592571259,105,85,15
"51",3191,"Union St",40.7182113,-74.0836394,97,57,17
"52",3212,"Christ Hospital",40.734785818,-74.050443636,84,48,35
"53",3426,"JCBS Depot",40.7096508336406,-74.0686011314392,45,44,0
"54",303,"Mercer St & Spring St",40.72362738,-73.99949601,2,2,0
"55",309,"Murray St & West St",40.7149787,-74.013012,2,1,1
"56",327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,2,0,2
"57",3002,"South End Ave & Liberty St",40.711512,-74.015756,2,1,1
"58",3674,"Jay St & York St",40.7014031725772,-73.9867267012596,2,2,0
"59",116,"W 17 St & 8 Ave",40.74177603,-74.00149746,1,0,1
"60",146,"Hudson St & Reade St",40.71625008,-74.0091059,1,1,0
"61",285,"Broadway & E 14 St",40.73454567,-73.99074142,1,1,0
"62",377,"6 Ave & Canal St",40.72243797,-74.00566443,1,1,0
"63",383,"Greenwich Ave & Charles St",40.735238,-74.000271,1,1,0
"64",447,"8 Ave & W 52 St",40.76370739,-73.9851615,1,1,0
"65",456,"E 53 St & Madison Ave",40.7597108,-73.97402311,1,0,1
"66",505,"6 Ave & W 33 St",40.74901271,-73.98848395,1,1,0
"67",514,"12 Ave & W 40 St",40.76087502,-74.00277668,1,0,1
"68",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,1,1,0
"69",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,1,1,0
"70",3540,"Morningside Ave & W 123 St",40.81,-73.9551508,1,0,0
