"","stationId","stationName","latitude","longitude","totalHires","manHires","womanHires"
"1","359","E 47 St & Park Ave",40.75510267,-73.97498696,29488,25601,3332
"2","519","Pershing Square North",40.751873,-73.977706,25419,20884,3992
"3","3664","North Moore St & Greenwich St",40.7201952143746,-74.0103006362915,25409,21961,3126
"4","402","Broadway & E 22 St",40.7403432,-73.98955109,25059,18148,6486
"5","491","E 24 St & Park Ave S",40.74096374,-73.98602213,21456,17731,3154
"6","426","West St & Chambers St",40.71754834,-74.01322069,20711,13256,6593
"7","3443","W 52 St & 6 Ave",40.7613298312481,-73.9798200130463,20199,16995,2908
"8","281","Grand Army Plaza & Central Park S",40.7643971,-73.97371465,18615,13581,4013
"9","520","W 52 St & 5 Ave",40.75992262,-73.97648516,17086,14484,2332
"10","3233","E 48 St & 5 Ave",40.7572456791173,-73.978059142828,17005,14309,2369
"11","465","Broadway & W 41 St",40.75513557,-73.98658032,16310,12487,3273
"12","497","E 17 St & Broadway",40.73704984,-73.99009296,16149,11230,4604
"13","377","6 Ave & Canal St",40.72243797,-74.00566443,15824,12065,3289
"14","173","Broadway & W 49 St",40.7606832709659,-73.9845272898674,15653,13189,2052
"15","285","Broadway & E 14 St",40.73454567,-73.99074142,14652,10336,3902
"16","304","Broadway & Battery Pl",40.70463334,-74.01361706,14407,9832,4084
"17","3141","1 Ave & E 68 St",40.76500525,-73.95818491,14305,8814,5091
"18","168","W 18 St & 6 Ave",40.73971301,-73.99456405,14129,10274,3532
"19","459","W 20 St & 11 Ave",40.746745,-74.007756,13475,9447,3668
"20","3263","Cooper Square & Astor Pl",40.7295149622495,-73.990752696991,13453,8989,4079
"21","347","Greenwich St & W Houston St",40.728846,-74.008591,13429,9907,3149
"22","435","W 21 St & 6 Ave",40.74173969,-73.99415556,13415,8969,4081
"23","472","E 32 St & Park Ave",40.7457121,-73.98194829,13333,10076,3033
"24","293","Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,13324,9562,3253
"25","327","Vesey Pl & River Terrace",40.7153379,-74.01658354,12925,9750,2827
"26","388","W 26 St & 10 Ave",40.749717753,-74.002950346,12761,8362,4149
"27","3459","E 53 St & 3 Ave",40.7576322773944,-73.9693057537079,12628,10595,1791
"28","517","Pershing Square South",40.751581,-73.97791,12326,10103,1937
"29","3641","Broadway & W 25 St",40.7428687731211,-73.9891862869263,12164,9467,2213
"30","490","8 Ave & W 33 St",40.751551,-73.993934,12135,10031,1810
"31","484","W 44 St & 5 Ave",40.75500254,-73.98014437,11774,9594,1943
"32","212","W 16 St & The High Line",40.74334935,-74.00681753,11177,7934,2844
"33","379","W 31 St & 7 Ave",40.749156,-73.9916,11172,8292,2548
"34","442","W 27 St & 7 Ave",40.746647,-73.993915,11132,7988,2965
"35","486","Broadway & W 29 St",40.7462009,-73.98855723,11049,8200,2498
"36","3255","8 Ave & W 31 St",40.7505853470215,-73.9946848154068,10922,8258,2170
"37","458","11 Ave & W 27 St",40.751396,-74.005226,10887,8036,2651
"38","474","5 Ave & E 29 St",40.7451677,-73.98683077,10883,8594,2073
"39","167","E 39 St & 3 Ave",40.7489006,-73.97604882,10860,8202,2290
"40","358","Christopher St & Greenwich St",40.73291553,-74.00711384,10809,8023,2541
"41","466","W 25 St & 6 Ave",40.74395411,-73.99144871,10783,8303,2212
"42","500","Broadway & W 51 St",40.76228826,-73.98336183,10697,8907,1488
"43","468","Broadway & W 56 St",40.7652654,-73.98192338,10587,8087,2259
"44","3002","South End Ave & Liberty St",40.711512,-74.015756,10509,7194,2864
"45","337","Old Slip & Front St",40.7037992,-74.00838676,10430,7750,2468
"46","533","Broadway & W 38 St",40.75299641,-73.98721619,10403,7553,2291
"47","3674","Jay St & York St",40.7014031725772,-73.9867267012596,10325,6943,3007
"48","469","Broadway & W 53 St",40.76344058,-73.98268129,10275,8342,1765
"49","525","W 34 St & 11 Ave",40.75594159,-74.0021163,10190,7801,1921
"50","3235","E 41 St & Madison Ave",40.752165280622,-73.9799219369888,10166,8492,1339
"51","229","Great Jones St",40.72743423,-73.99379025,10002,6596,3087
"52","523","W 38 St & 8 Ave",40.75466591,-73.99138152,9989,8028,1645
"53","128","MacDougal St & Prince St",40.72710258,-74.00297088,9842,6519,2968
"54","3680","E 43 St & 5 Ave",40.7541208107793,-73.9802518486977,9714,8333,1194
"55","195","Liberty St & Broadway",40.70905623,-74.01043382,9629,7362,1956
"56","3687","E 33 St & 1 Ave",40.7432268143217,-73.9744978398085,9545,6781,2426
"57","496","E 16 St & 5 Ave",40.73726186,-73.99238967,9486,7314,2013
"58","164","E 47 St & 2 Ave",40.75323098,-73.97032517,9392,7019,2192
"59","151","Cleveland Pl & Spring St",40.722103786686,-73.997249007225,9390,6427,2475
"60","536","1 Ave & E 30 St",40.74144387,-73.97536082,9208,6490,2406
"61","455","1 Ave & E 44 St",40.75001986,-73.96905301,8914,5588,3079
"62","546","E 30 St & Park Ave S",40.74444921,-73.98303529,8909,6614,2096
